id,tanggal,platform,link url,teks,label,unnamed: 6,label.1,ciri-ciri kalimat,contoh,panjang_teks,jumlah_kata,teks_clean
11,23/06/2026,X / Twitter,https://x.com/dewa77996/status/2069239893780562407,"@O5Bravo Sekolah unggulan emang perlu karena sejak zonasi, semua sekolah jadi rata2. Padahal anak yg pinter butuh pendidikan khusus kayak anak SLB. Mereka yg udah tau 2x2 jgn dicampur sama mereka yg baru paham 2+2. Mereka bisa jadi males dan ketika gede, jadi depressed adult.",Netral,,,,,276,45,sekolah unggul perlu sejak zonasi semua sekolah rata padahal anak pinter butuh didik khusus anak slb tau jgn campur sama baru paham males gede depressed adult
12,23/06/2026,X / Twitter,https://x.com/samar_wulu/status/2069227284163338669,"@kompascom Ada diskriminasi sekolah lagi"" ""Apa gunanya sistem zonasi, kalau banyak dibangun sekolah istimewa",Negatif,,,,,108,14,diskriminasi sekolah apa guna sistem zonasi banyak bangun sekolah istimewa
13,22/06/2026,X / Twitter,https://x.com/125Japstyle/status/2069049409577640293,"Pengen anak masuk sekolah favorit lewat jalur zonasi? ❌ Lewat jalur prestasi atau domisili asli."" Numpang KK nenek 74 tahun yang gak dikenal sampe bansosnya kehapus? (Lurah approved!) ​Plot twist tersedih tahun ini: Gak punya hubungan darah, gak pernah ketemu, tau-tau Mbah Tukiyem punya cucu anak pejabat kelurahan. Berbakti kagak, bikin bansos ilang iya. ""​Ingat gaes, minta maaf adalah kunci. Habis ketahuan, tinggal bilang maaf, urusan selesai? Oh tentu tidak, Pemkot Bengkulu lagi otw investigasi nih. Mari kita kawal!",Negatif,,,,,523,79,ken anak masuk sekolah favorit lewat jalur zonasi lewat jalur prestasi domisili asli numpang nenek tahun kenal sampe bansosnya hapus lurah approved plot twist sedih tahun punya hubung darah pernah ketemu tau tau mbah tukiyem punya cucu anak jabat lurah bakti kagak bikin bansos ilang iya ingat gaes minta maaf kunci habis tahu tinggal bilang maaf urus selesai pemkot bengkulu otw investigasi kita kawal
14,22/06/2026,X / Twitter,https://x.com/22ndfromA/status/2068898222077337723,"masuknya di jalur kjp bukan jalur domisili. untuk apa dibuka jalur domisili kalo semuanya diukur dari zonasi?"" ""dibuka jalur lain kan biar yang rumahnya jauh dari sekolah yang diinginkan bisa masuk dengan mengandalkan nilai. aneh banget aneh.",Netral,,,,,242,37,masuk jalur kjp jalur domisili apa buka jalur domisili semua ukur zonasi buka jalur biar rumah jauh sekolah ingin masuk andal nilai aneh aneh
15,22/06/2026,X / Twitter,https://x.com/22ndfromA/status/2068898218503758307,"spmb sekarang gajelas parah, jalur kjp katanya tahun kemarin lebih utamakan nilai karena kalo zonasi merugikan anak yang nilainya besar tp gak dapat sekolah negeri, lah kok sekarang diulangi? "" ""kasian bgt adek gue nilainya gede kalah sama yang rumahnya deket padahal-",Negatif,,,,,268,42,spmb sekarang gajelas parah jalur kjp kata tahun kemarin utama nilai zonasi rugi anak nilai besar sekolah negeri lah sekarang ulang kasi adek gue nilai gede kalah sama rumah deket padahal
16,22/06/2026,X / Twitter,https://x.com/_BangFu/status/2068891300745941429,"@kalistohenituse Memang pembodohan dilakukan sejak dari era Jokowi."" Dimulai dengan sistem zonasi dan gak ada sekolah unggulan sampai sekarang. ""Daya rusak Mulyono",Negatif,,,,,163,22,bodoh laku sejak era jokowi mulai sistem zonasi sekolah unggul sekarang daya rusak mulyono
17,"Mon Jun 22 01:48:20 +0000 2026"";",X / Twitter,https://x.com/_Abee94/status/2068873692269117561,"@yappingfess ini project yg nantinya bakal ky nasib ikn."" sekolah yg ada problemnya soal gedung² yg udah mulai rapuh, kurikulum yg kurang maximal, gaji guru yg alakadarnya, system zonasi yg ruwet. ""ayam kampung vs ayam negeri vs ayam liar"" sama² daging ayam cuma beda tempat &amp;"" cara perawatannya",Negatif,,,,,299,48,project nanti bakal nasib ikn sekolah problem soal gedung mulai rapuh kurikulum kurang maximal gaji guru alakadarnya system zonasi ruwet ayam kampung ayam negeri ayam liar sama daging ayam cuma beda tempat cara awat
18,21/06/2026,X / Twitter,https://x.com/Big83717Dude/status/2068687182353903659,"@SetiakuDandi @azwardiiqbal Tahun ini udah ada sekolah garuda beberapa di Jakarta yang statusnya sekolah negeri. Kalau sekolah garuda udah nggak pakai zonasi Bang."" ""Setahu saya SMA 8 masuk salah satunya",Negatif,,,,,203,30,tahun sekolah garuda beberapa jakarta status sekolah negeri sekolah garuda pakai zonasi bang tahu sma masuk salah satu
19,21/06/2026,X / Twitter,https://x.com/caramellised/status/2068634917043601466,@nitakussumadewi for real wkaksk mana glorifying achievementsnya tuh sekolah terus sempet downgrading temen temennya yang lain. padahal most of us terkendala zonasi iyeaa dah iyeaa anak dua buantul,Netral,,,,,197,28,for real wkaksk mana glorifying achievementsnya tuh sekolah terus sempet downgrading temen temennya padahal most kendala zonasi iyeaa iyeaa anak buantul
20,21/06/2026,X / Twitter,https://x.com/hevespera/status/2068573509186650360,@budimandjatmiko Infrastruktur pendidikan mereka udah next level. Kita masih ributin jalur zonasi sekolah gak kelar-kelar 😩 #BeraniBerubah,Negatif,,,,,138,17,infrastruktur didik next level masih ributin jalur zonasi sekolah kelar kelar
21,20/06/2026,X / Twitter,https://x.com/titiktinta/status/2068332888572219709,"@ardisatriawan Tambah di jabar ada sekolah Maung (Manusia Unggul).. program KDM, khusus terima murid2 berprestasi, berarti yg lain ga unggul yah, pdhl sekolah berbasis nilai akademik sudah dihilangkan, diganti zonasi biar lebih adil",Negatif,,,,,232,33,tambah jabar sekolah maung manusia unggul program kdm khusus terima murid prestasi arti unggul yah pdhl sekolah bas nilai akademik hilang ganti zonasi biar adil
22,20/06/2026,X / Twitter,https://x.com/titiktinta/status/2068332474615398775,"Tambah di jabar ada sekolah Maung (Manusia Unggul).. program KDM, khusus terima murid2 berprestasi, berarti yg lain ga unggul yah, pdhl sekolah berbasis nilai akademik sudah dihilangkan, diganti zonasi biar lebih adil",Negatif,,,,,217,32,tambah jabar sekolah maung manusia unggul program kdm khusus terima murid prestasi arti unggul yah pdhl sekolah bas nilai akademik hilang ganti zonasi biar adil
23,20/06/2026,X / Twitter,https://x.com/yuradelita/status/2068150383055417768,@wwwwwdyaaa Baru tau skrg kuliah juga pakai zonasi ya??? Bukan sekolah aja skrg ya🥲,Netral,,,,,83,14,baru tau skrg kuliah pakai zonasi sekolah skrg
24,19/06/2026,X / Twitter,https://x.com/adanaradisini/status/2068017030465503340,"@did1reachyou @tempodotco Jangankan gak masuk zona 1-3, masuk zona 3 aja ada kemungkinan tersingkir kalau kuota sekolah sudah penuh, karena yang didahulukan yang tinggalnya di zona 1-2"" ""Belum lagi kalau ortunya perantauan, ada dokumen tambahan, percayalah sistem zonasi ini udah merepotkan banyak pihak.",Negatif,,,,,304,43,jangan masuk zona masuk zona mungkin singkir kuota sekolah penuh dahulu tinggal zona lagi ortunya rantau dokumen tambah percaya sistem zonasi repot banyak pihak
25,19/06/2026,X / Twitter,https://x.com/adanaradisini/status/2068010012010770545,"@tempodotco Hadeeeh ada aja omongan lansia, gak capek pak? Ituloh mending zonasi hapus dulu, kurikulumnya ditinjau dan diperbaiki lagi. Trs sekolah negeri yang udah ada aja bagusin, gaji guru dan staffnya naikin biar semakin semangat ngajarnya, pake acara ngide bikin sekolah jenis baru 😑😑",Negatif,,,,,289,44,hadeeeh omong lansia capek pak ituloh mending zonasi hapus dulu kurikulum tinjau baik trs sekolah negeri bagusin gaji guru staffnya naikin biar makin semangat ngajarnya pake acara ngide bikin sekolah jenis baru
26,"Fri Jun 19 15:51:20 +0000 2026"";",X / Twitter,https://x.com/mubin_nusantara/status/2067998673724916188,"@tempodotco Ada Sekolah Garuda, ada Sekolah Rakyat, dan ini barang baru apalagi?"" Label favoritisme &amp;"" elitisme yg susah payah dihilangkan lewat sistem zonasi, malah dihidupkan lagi lewat pengkastaan sekolah baru. Ini namanya melembagakan segregasi sosial dlm sistem pendidikan.",Negatif,,,,,282,38,sekolah garuda sekolah rakyat barang baru label favoritisme elitisme susah payah hilang lewat sistem zonasi malah hidup lewat kasta sekolah baru nama lembaga segregasi sosial dlm sistem didik
27,"Fri Jun 19 15:50:09 +0000 2026"";",X / Twitter,https://x.com/mubin_nusantara/status/2067998378064290133,"Ada Sekolah Garuda, ada Sekolah Rakyat, dan ini barang baru apalagi?"" Label favoritisme &amp;"" elitisme yg susah payah dihilangkan lewat sistem zonasi, malah dihidupkan lagi lewat pengkastaan sekolah baru. Ini namanya melembagakan segregasi sosial dlm sistem pendidikan.",Negatif,,,,,270,37,sekolah garuda sekolah rakyat barang baru label favoritisme elitisme susah payah hilang lewat sistem zonasi malah hidup lewat kasta sekolah baru nama lembaga segregasi sosial dlm sistem didik
28,19/06/2026,X / Twitter,https://x.com/udempetruci_/status/2067984814922399845,"@tempodotco Sekolah² aja sudah gak ada siang wajib pagi semua biar bisa makan embe ge, spmb masuk sd aja sistem zonasi yang masuk pilihan usia tua semua tidak memprioritaskan wilayah 1 kelurahan. Gw cuma butuh perbaiki semua sekolah di konoha itu aja udah cukup gak usah nambah² program",Netral,,,,,286,48,sekolah siang wajib pagi semua biar makan embe spmb masuk sistem zonasi masuk pilih usia tua semua prioritas wilayah lurah cuma butuh baik semua sekolah konoha cukup usah nambah program
29,19/06/2026,X / Twitter,https://x.com/KIrrua_R1/status/2067974207619903626,"@nadhifibr Pintar dari lahir/ diles-in mahal/masuk sekolah favorit jalur zonasi/ketemu sama guru yang klop/dapat circle yg support buat belajar/etc "" ""Oh... the beauty of life",Netral,,,,,175,25,pintar lahir les mahal masuk sekolah favorit jalur zonasi ketemu sama guru klop circle support buat ajar etc the beauty life
30,19/06/2026,X / Twitter,https://x.com/tokoburger/status/2067969992130486426,ibarat sekolah pake sistem zonasi,Netral,,,,,33,5,ibarat sekolah pake sistem zonasi
31,19/06/2026,X / Twitter,https://x.com/yeriniff/status/2067959165889499345,"@royaume_kaho @tempodotco Betul, apalagi skrg kan sistem zonasi biar ga ada sekolah favorit. Eh malaah",Netral,,,,,102,15,betul skrg sistem zonasi biar sekolah favorit malaah
32,19/06/2026,X / Twitter,https://x.com/sipalingAB/status/2067957821229203928,@txtharihariWNI mungkin suami lu bisa masuk sekolah fav modal jalur zonasi kak,Netral,,,,,78,12,mungkin suami masuk sekolah fav modal jalur zonasi kak
33,19/06/2026,X / Twitter,https://x.com/amedekajo/status/2067916433498276318,gw tiap malam masih sering sedih sama diri gw sendiri… kaya apa ya.. dari dulu gw kaya ga pernah dapetin sekolah impian gw… mulai dari smp sampe sma gw disuruh ikhlas aja gara-gara zonasi.. padahal kalau pake prestasi gw yakin gw bisa… tapi disuruh ikhlaskan aja,Negatif,,,,,262,46,tiap malam sering sedih sama diri sendiri kaya apa dulu kaya pernah dapetin sekolah impi mulai smp sampe sma suruh ikhlas gara gara zonasi padahal pake prestasi yakin suruh ikhlas
34,19/06/2026,X / Twitter,https://x.com/icharis/status/2067842076134572260,@3easy_Cuaan Kalau itu bukan karena zonasinya tp memang mutu pendidikan yang buruk. Zonasi sudah tepat tapi jumlah sekolah yang perlu ditambah.,Netral,,,,,143,21,zonasi mutu didik buruk zonasi tepat jumlah sekolah perlu tambah
35,19/06/2026,X / Twitter,https://x.com/Big83717Dude/status/2067841436763173277,"@djoniecash2 Buat saya game changer Sekolah Garuda ini adalah memilih sekolah negeri yang sudah ada untuk menjadi bagian dari sekolah Garuda. "" Zonasi membuat kita kehilangan sekolah negeri unggulan. Welcome back SMA 8 dan SMA 28 Jakarta. ""Sekolah ini layak kembali menjadi pilihan siswa pintar",Netral,,,,,294,45,buat game changer sekolah garuda pilih sekolah negeri jadi bagi sekolah garuda zonasi buat hilang sekolah negeri unggul welcome back sma sma jakarta sekolah layak jadi pilih siswa pintar
36,19/06/2026,X / Twitter,https://x.com/3easy_Cuaan/status/2067837112184102946,"@icharis sistem Zonasi ini bisa diilangin gak sih pak? sistem zonasi ini memang meratakan pendidikan, sampe pendidikan karakter juga sama 😁"" dulu aku sekolah, antara siswa sekolah A dan B karakternya bisa beda jauh karakter dan Intelektualnya ""sekarang mah sama aja",Positif,,,,,265,41,sistem zonasi diilangin pak sistem zonasi rata didik sampe didik karakter sama dulu aku sekolah siswa sekolah karakter beda jauh karakter intelektual sekarang mah sama
37,19/06/2026,X / Twitter,https://x.com/veephoriaaaaa/status/2067815443172376604,ya emg. drdlu gak ada mbg skolahku ttp jd top 3 favorit dikabupaten. lalu dtanglah sistem zonasi jdilah sekolah yg yaa bgitulah hmmm.,Netral,,,,,133,23,emg drdlu mbg skolahku ttp top favorit kabupaten lalu dtanglah sistem zonasi jdilah sekolah yaa bgitulah hmmm
38,19/06/2026,X / Twitter,https://x.com/icharis/status/2067812912027340982,"Anak Anda gagal masuk sekolah negeri karena sistem zonasi atau kuota? SALAH. Anak Anda tidak gagal. Negara yang gagal."" ""Setiap tahun polanya sama: anak-anak dikorbankan atas nama pemerataan yang setengah hati, sementara pembangunan sekolah baru jalan di tempat. Berhenti menyalahkan nilai atau keberuntungan anak kita. Saatnya menuntut hak yang hakiki."" Baca selengkapnya kritik tajam ini: 🔗 https://t.co/hq5kOpRIxP ""#PPDB #PendidikanIndonesia #GagalSistem #Zonasi #Kemendikbud #Opini",Positif,,,,,485,63,anak gagal masuk sekolah negeri sistem zonasi kuota salah anak gagal negara gagal tahun pola sama anak anak korban atas nama perata tengah hati bangun sekolah baru jalan tempat henti salah nilai untung anak saat tuntut hak hakiki baca lengkap kritik tajam
39,19/06/2026,X / Twitter,https://x.com/yunaleesj/status/2067762315462943165,"ya namanya orang bodoh yang ga sanggup masuk kak, bisanya cuma banyak ngomong dan berpikir masuk kampus ini gampang kaya masuk sekolah jalur zonasi/orang dalem",Negatif,,,,,159,25,nama orang bodoh sanggup masuk kak bisa cuma banyak ngomong pikir masuk kampus gampang kaya masuk sekolah jalur zonasi orang dalem
40,18/06/2026,X / Twitter,https://x.com/Big83717Dude/status/2067714601840738669,"Ini adalah efek domina dari kebijakan zonasi. Sekolah negeri diprioritaskan untuk siswa yang berdomisili di sekitar sekolah dan siswa berusia diatas rerata usia siswa lainnya. "" ""Akibatnya tidak ada lagi sekolah favorit yang menerima siswa-siswa berbakat.",Netral,,,,,255,36,efek domina bijak zonasi sekolah negeri prioritas siswa domisili sekolah siswa usia atas rerata usia siswa lain akibat sekolah favorit terima siswa siswa bakat
41,"Tue Jun 23 00:45:04 +0000 2026"";",X / Twitter,https://x.com/4biw3/status/2069220159001395456,"smansa. Dlu masi zaman e ppdb, grgr dia gak pinter klo ikut jalur prestasi &amp"";"" raport, dia juga rumahnya jauh jd gabisa ikut jalur zonasi, akhirny dia mili apply jalur afirmasi(tidak mampu) dan suprisingly beneran keterima, t-ta-pi tapi bapak dia tuh org bank",Netral,,,,,263,43,smansa dlu mas zaman ppdb grgr pinter klo ikut jalur prestasi raport rumah jauh gabisa ikut jalur zonasi akhirny mil apply jalur afirmasi mampu suprisingly beneran terima bapak tuh org bank
43,26/05/2026,X / Twitter,https://x.com/leahkittens/status/2059123815192690871,"@ashaabull Sebenarnya gw lebih setuju sekarang sih"" Karena gw trauma dengan PPDB SMA di kota gw Bisa-bisanya jalur zonasi 85% pakai perbandingan usia sebagai syarat utama😭 ""Akhirnya tandingan usia buat SMA di jalur zonasi jadi 17-19 tahun(padahal zonasi kan harusnya dihitung jarak)",Positif,,,,,282,42,benar tuju sekarang trauma ppdb sma kota bisa jalur zonasi pakai banding usia syarat utama akhir tanding usia buat sma jalur zonasi tahun padahal zonasi harus hitung jarak
44,20/05/2026,X / Twitter,https://x.com/_jcupcakey/status/2057161483923194064,"daftar PPDB SMA jalur prestasi gagal, jalur zonasi gagal, snbp gagal, snbt 2025 gagal. Lemme get the word accepted in snbt 2026, please God aamiin",Negatif,,,,,146,25,daftar ppdb sma jalur prestasi gagal jalur zonasi gagal snbp gagal snbt gagal lemme get the word accepted snbt please god aamiin
