id,teks,teks_clean,label
11,"@O5Bravo Sekolah unggulan emang perlu karena sejak zonasi, semua sekolah jadi rata2. Padahal anak yg pinter butuh pendidikan khusus kayak anak SLB. Mereka yg udah tau 2x2 jgn dicampur sama mereka yg baru paham 2+2. Mereka bisa jadi males dan ketika gede, jadi depressed adult.",sekolah unggul perlu sejak zonasi semua sekolah rata padahal anak pinter butuh didik khusus anak slb tau jgn campur sama baru paham males gede depressed adult,Netral
12,"@kompascom Ada diskriminasi sekolah lagi"" ""Apa gunanya sistem zonasi, kalau banyak dibangun sekolah istimewa",diskriminasi sekolah apa guna sistem zonasi banyak bangun sekolah istimewa,Negatif
13,"Pengen anak masuk sekolah favorit lewat jalur zonasi? ❌ Lewat jalur prestasi atau domisili asli."" Numpang KK nenek 74 tahun yang gak dikenal sampe bansosnya kehapus? (Lurah approved!) ​Plot twist tersedih tahun ini: Gak punya hubungan darah, gak pernah ketemu, tau-tau Mbah Tukiyem punya cucu anak pejabat kelurahan. Berbakti kagak, bikin bansos ilang iya. ""​Ingat gaes, minta maaf adalah kunci. Habis ketahuan, tinggal bilang maaf, urusan selesai? Oh tentu tidak, Pemkot Bengkulu lagi otw investigasi nih. Mari kita kawal!",ken anak masuk sekolah favorit lewat jalur zonasi lewat jalur prestasi domisili asli numpang nenek tahun kenal sampe bansosnya hapus lurah approved plot twist sedih tahun punya hubung darah pernah ketemu tau tau mbah tukiyem punya cucu anak jabat lurah bakti kagak bikin bansos ilang iya ingat gaes minta maaf kunci habis tahu tinggal bilang maaf urus selesai pemkot bengkulu otw investigasi kita kawal,Negatif
14,"masuknya di jalur kjp bukan jalur domisili. untuk apa dibuka jalur domisili kalo semuanya diukur dari zonasi?"" ""dibuka jalur lain kan biar yang rumahnya jauh dari sekolah yang diinginkan bisa masuk dengan mengandalkan nilai. aneh banget aneh.",masuk jalur kjp jalur domisili apa buka jalur domisili semua ukur zonasi buka jalur biar rumah jauh sekolah ingin masuk andal nilai aneh aneh,Netral
15,"spmb sekarang gajelas parah, jalur kjp katanya tahun kemarin lebih utamakan nilai karena kalo zonasi merugikan anak yang nilainya besar tp gak dapat sekolah negeri, lah kok sekarang diulangi? "" ""kasian bgt adek gue nilainya gede kalah sama yang rumahnya deket padahal-",spmb sekarang gajelas parah jalur kjp kata tahun kemarin utama nilai zonasi rugi anak nilai besar sekolah negeri lah sekarang ulang kasi adek gue nilai gede kalah sama rumah deket padahal,Negatif
16,"@kalistohenituse Memang pembodohan dilakukan sejak dari era Jokowi."" Dimulai dengan sistem zonasi dan gak ada sekolah unggulan sampai sekarang. ""Daya rusak Mulyono",bodoh laku sejak era jokowi mulai sistem zonasi sekolah unggul sekarang daya rusak mulyono,Negatif
17,"@yappingfess ini project yg nantinya bakal ky nasib ikn."" sekolah yg ada problemnya soal gedung² yg udah mulai rapuh, kurikulum yg kurang maximal, gaji guru yg alakadarnya, system zonasi yg ruwet. ""ayam kampung vs ayam negeri vs ayam liar"" sama² daging ayam cuma beda tempat &amp;"" cara perawatannya",project nanti bakal nasib ikn sekolah problem soal gedung mulai rapuh kurikulum kurang maximal gaji guru alakadarnya system zonasi ruwet ayam kampung ayam negeri ayam liar sama daging ayam cuma beda tempat cara awat,Negatif
18,"@SetiakuDandi @azwardiiqbal Tahun ini udah ada sekolah garuda beberapa di Jakarta yang statusnya sekolah negeri. Kalau sekolah garuda udah nggak pakai zonasi Bang."" ""Setahu saya SMA 8 masuk salah satunya",tahun sekolah garuda beberapa jakarta status sekolah negeri sekolah garuda pakai zonasi bang tahu sma masuk salah satu,Negatif
19,@nitakussumadewi for real wkaksk mana glorifying achievementsnya tuh sekolah terus sempet downgrading temen temennya yang lain. padahal most of us terkendala zonasi iyeaa dah iyeaa anak dua buantul,for real wkaksk mana glorifying achievementsnya tuh sekolah terus sempet downgrading temen temennya padahal most kendala zonasi iyeaa iyeaa anak buantul,Netral
20,@budimandjatmiko Infrastruktur pendidikan mereka udah next level. Kita masih ributin jalur zonasi sekolah gak kelar-kelar 😩 #BeraniBerubah,infrastruktur didik next level masih ributin jalur zonasi sekolah kelar kelar,Negatif
21,"@ardisatriawan Tambah di jabar ada sekolah Maung (Manusia Unggul).. program KDM, khusus terima murid2 berprestasi, berarti yg lain ga unggul yah, pdhl sekolah berbasis nilai akademik sudah dihilangkan, diganti zonasi biar lebih adil",tambah jabar sekolah maung manusia unggul program kdm khusus terima murid prestasi arti unggul yah pdhl sekolah bas nilai akademik hilang ganti zonasi biar adil,Negatif
22,"Tambah di jabar ada sekolah Maung (Manusia Unggul).. program KDM, khusus terima murid2 berprestasi, berarti yg lain ga unggul yah, pdhl sekolah berbasis nilai akademik sudah dihilangkan, diganti zonasi biar lebih adil",tambah jabar sekolah maung manusia unggul program kdm khusus terima murid prestasi arti unggul yah pdhl sekolah bas nilai akademik hilang ganti zonasi biar adil,Negatif
23,@wwwwwdyaaa Baru tau skrg kuliah juga pakai zonasi ya??? Bukan sekolah aja skrg ya🥲,baru tau skrg kuliah pakai zonasi sekolah skrg,Netral
24,"@did1reachyou @tempodotco Jangankan gak masuk zona 1-3, masuk zona 3 aja ada kemungkinan tersingkir kalau kuota sekolah sudah penuh, karena yang didahulukan yang tinggalnya di zona 1-2"" ""Belum lagi kalau ortunya perantauan, ada dokumen tambahan, percayalah sistem zonasi ini udah merepotkan banyak pihak.",jangan masuk zona masuk zona mungkin singkir kuota sekolah penuh dahulu tinggal zona lagi ortunya rantau dokumen tambah percaya sistem zonasi repot banyak pihak,Negatif
25,"@tempodotco Hadeeeh ada aja omongan lansia, gak capek pak? Ituloh mending zonasi hapus dulu, kurikulumnya ditinjau dan diperbaiki lagi. Trs sekolah negeri yang udah ada aja bagusin, gaji guru dan staffnya naikin biar semakin semangat ngajarnya, pake acara ngide bikin sekolah jenis baru 😑😑",hadeeeh omong lansia capek pak ituloh mending zonasi hapus dulu kurikulum tinjau baik trs sekolah negeri bagusin gaji guru staffnya naikin biar makin semangat ngajarnya pake acara ngide bikin sekolah jenis baru,Negatif
26,"@tempodotco Ada Sekolah Garuda, ada Sekolah Rakyat, dan ini barang baru apalagi?"" Label favoritisme &amp;"" elitisme yg susah payah dihilangkan lewat sistem zonasi, malah dihidupkan lagi lewat pengkastaan sekolah baru. Ini namanya melembagakan segregasi sosial dlm sistem pendidikan.",sekolah garuda sekolah rakyat barang baru label favoritisme elitisme susah payah hilang lewat sistem zonasi malah hidup lewat kasta sekolah baru nama lembaga segregasi sosial dlm sistem didik,Negatif
27,"Ada Sekolah Garuda, ada Sekolah Rakyat, dan ini barang baru apalagi?"" Label favoritisme &amp;"" elitisme yg susah payah dihilangkan lewat sistem zonasi, malah dihidupkan lagi lewat pengkastaan sekolah baru. Ini namanya melembagakan segregasi sosial dlm sistem pendidikan.",sekolah garuda sekolah rakyat barang baru label favoritisme elitisme susah payah hilang lewat sistem zonasi malah hidup lewat kasta sekolah baru nama lembaga segregasi sosial dlm sistem didik,Negatif
28,"@tempodotco Sekolah² aja sudah gak ada siang wajib pagi semua biar bisa makan embe ge, spmb masuk sd aja sistem zonasi yang masuk pilihan usia tua semua tidak memprioritaskan wilayah 1 kelurahan. Gw cuma butuh perbaiki semua sekolah di konoha itu aja udah cukup gak usah nambah² program",sekolah siang wajib pagi semua biar makan embe spmb masuk sistem zonasi masuk pilih usia tua semua prioritas wilayah lurah cuma butuh baik semua sekolah konoha cukup usah nambah program,Netral
29,"@nadhifibr Pintar dari lahir/ diles-in mahal/masuk sekolah favorit jalur zonasi/ketemu sama guru yang klop/dapat circle yg support buat belajar/etc "" ""Oh... the beauty of life",pintar lahir les mahal masuk sekolah favorit jalur zonasi ketemu sama guru klop circle support buat ajar etc the beauty life,Netral
30,ibarat sekolah pake sistem zonasi,ibarat sekolah pake sistem zonasi,Netral
31,"@royaume_kaho @tempodotco Betul, apalagi skrg kan sistem zonasi biar ga ada sekolah favorit. Eh malaah",betul skrg sistem zonasi biar sekolah favorit malaah,Netral
32,@txtharihariWNI mungkin suami lu bisa masuk sekolah fav modal jalur zonasi kak,mungkin suami masuk sekolah fav modal jalur zonasi kak,Netral
33,gw tiap malam masih sering sedih sama diri gw sendiri… kaya apa ya.. dari dulu gw kaya ga pernah dapetin sekolah impian gw… mulai dari smp sampe sma gw disuruh ikhlas aja gara-gara zonasi.. padahal kalau pake prestasi gw yakin gw bisa… tapi disuruh ikhlaskan aja,tiap malam sering sedih sama diri sendiri kaya apa dulu kaya pernah dapetin sekolah impi mulai smp sampe sma suruh ikhlas gara gara zonasi padahal pake prestasi yakin suruh ikhlas,Negatif
34,@3easy_Cuaan Kalau itu bukan karena zonasinya tp memang mutu pendidikan yang buruk. Zonasi sudah tepat tapi jumlah sekolah yang perlu ditambah.,zonasi mutu didik buruk zonasi tepat jumlah sekolah perlu tambah,Netral
35,"@djoniecash2 Buat saya game changer Sekolah Garuda ini adalah memilih sekolah negeri yang sudah ada untuk menjadi bagian dari sekolah Garuda. "" Zonasi membuat kita kehilangan sekolah negeri unggulan. Welcome back SMA 8 dan SMA 28 Jakarta. ""Sekolah ini layak kembali menjadi pilihan siswa pintar",buat game changer sekolah garuda pilih sekolah negeri jadi bagi sekolah garuda zonasi buat hilang sekolah negeri unggul welcome back sma sma jakarta sekolah layak jadi pilih siswa pintar,Netral
36,"@icharis sistem Zonasi ini bisa diilangin gak sih pak? sistem zonasi ini memang meratakan pendidikan, sampe pendidikan karakter juga sama 😁"" dulu aku sekolah, antara siswa sekolah A dan B karakternya bisa beda jauh karakter dan Intelektualnya ""sekarang mah sama aja",sistem zonasi diilangin pak sistem zonasi rata didik sampe didik karakter sama dulu aku sekolah siswa sekolah karakter beda jauh karakter intelektual sekarang mah sama,Positif
37,ya emg. drdlu gak ada mbg skolahku ttp jd top 3 favorit dikabupaten. lalu dtanglah sistem zonasi jdilah sekolah yg yaa bgitulah hmmm.,emg drdlu mbg skolahku ttp top favorit kabupaten lalu dtanglah sistem zonasi jdilah sekolah yaa bgitulah hmmm,Netral
38,"Anak Anda gagal masuk sekolah negeri karena sistem zonasi atau kuota? SALAH. Anak Anda tidak gagal. Negara yang gagal."" ""Setiap tahun polanya sama: anak-anak dikorbankan atas nama pemerataan yang setengah hati, sementara pembangunan sekolah baru jalan di tempat. Berhenti menyalahkan nilai atau keberuntungan anak kita. Saatnya menuntut hak yang hakiki."" Baca selengkapnya kritik tajam ini: 🔗 https://t.co/hq5kOpRIxP ""#PPDB #PendidikanIndonesia #GagalSistem #Zonasi #Kemendikbud #Opini",anak gagal masuk sekolah negeri sistem zonasi kuota salah anak gagal negara gagal tahun pola sama anak anak korban atas nama perata tengah hati bangun sekolah baru jalan tempat henti salah nilai untung anak saat tuntut hak hakiki baca lengkap kritik tajam,Positif
39,"ya namanya orang bodoh yang ga sanggup masuk kak, bisanya cuma banyak ngomong dan berpikir masuk kampus ini gampang kaya masuk sekolah jalur zonasi/orang dalem",nama orang bodoh sanggup masuk kak bisa cuma banyak ngomong pikir masuk kampus gampang kaya masuk sekolah jalur zonasi orang dalem,Negatif
40,"Ini adalah efek domina dari kebijakan zonasi. Sekolah negeri diprioritaskan untuk siswa yang berdomisili di sekitar sekolah dan siswa berusia diatas rerata usia siswa lainnya. "" ""Akibatnya tidak ada lagi sekolah favorit yang menerima siswa-siswa berbakat.",efek domina bijak zonasi sekolah negeri prioritas siswa domisili sekolah siswa usia atas rerata usia siswa lain akibat sekolah favorit terima siswa siswa bakat,Netral
41,"smansa. Dlu masi zaman e ppdb, grgr dia gak pinter klo ikut jalur prestasi &amp"";"" raport, dia juga rumahnya jauh jd gabisa ikut jalur zonasi, akhirny dia mili apply jalur afirmasi(tidak mampu) dan suprisingly beneran keterima, t-ta-pi tapi bapak dia tuh org bank",smansa dlu mas zaman ppdb grgr pinter klo ikut jalur prestasi raport rumah jauh gabisa ikut jalur zonasi akhirny mil apply jalur afirmasi mampu suprisingly beneran terima bapak tuh org bank,Netral
42,"@ashaabull Sebenarnya gw lebih setuju sekarang sih"" Karena gw trauma dengan PPDB SMA di kota gw Bisa-bisanya jalur zonasi 85% pakai perbandingan usia sebagai syarat utama😭 ""Akhirnya tandingan usia buat SMA di jalur zonasi jadi 17-19 tahun(padahal zonasi kan harusnya dihitung jarak)",benar tuju sekarang trauma ppdb sma kota bisa jalur zonasi pakai banding usia syarat utama akhir tanding usia buat sma jalur zonasi tahun padahal zonasi harus hitung jarak,Positif
43,"daftar PPDB SMA jalur prestasi gagal, jalur zonasi gagal, snbp gagal, snbt 2025 gagal. Lemme get the word accepted in snbt 2026, please God aamiin",daftar ppdb sma jalur prestasi gagal jalur zonasi gagal snbp gagal snbt gagal lemme get the word accepted snbt please god aamiin,Negatif
44,"@direktoridosen @BudiBukanIntel @Windekind_Budi @iPoopBased @myshawti Saya komentari saat dia jadi menteri karena berkaitan dengan profesi saya. Ada pun kebijakannya seperti aturan zonasi, afirmasi, dan prestasi pada PPDB yang sangat tidak menguntungkan siswa berprestasi.",komentar dia menteri kait profesi bijak atur zonasi afirmasi prestasi ppdb sangat untung siswa prestasi,Netral
45,"@ArieDeLight @AnKiiim_ Lu tahu gak kenapa PPDB waktu itu ribut? Karena Pemprov DKI harus matuhin jalur zonasi berdasarkan Permendikbud Nomor 44 Tahun 2019 dari Pemerintah Pusat. Anies justru gak menghilang, tapi mewajibkan Disdik buat buka posko pengaduan dan nambah kuota jalur prestasi",tahu ppdb waktu ribut pemprov dki matuhin jalur zonasi dasar permendikbud nomor tahun perintah pusat anies justru hilang wajib disdik buat buka posko adu nambah kuota jalur prestasi,Netral
46,"@virdianaurellio Padahal doa nadiem bukan di pengadaan chrome book. Tapi di kurikulum merdeka, penghapusan UN, PPDB zonasi dan penyederhanaan RPP.",padahal doa nadiem ada chrome book kurikulum merdeka hapus ppdb zonasi sederhana rpp,Negatif
47,"@genturtama Bisa jadi"" Atau bisa juga karena pengaruh pemerintah pusat. Misalnya kebijakan ppdb zonasi di 2017, Yogyakarta lumayan bagus untuk deviasi dan cari celahnya. ""Plus, dukungan stakeholder (orangtua) sangat besar untuk inovasi tersebut.",pengaruh perintah pusat misal bijak ppdb zonasi yogyakarta lumayan bagus deviasi cari celah plus dukung stakeholder orangtua sangat besar inovasi sebut,Positif
48,"Mengapa Jakarta Punya Dua Sistem Rute?"" Perubahan sistem pendidikan mengubah pola perjalanan pelajar. 1️⃣ Sebelum PPDB zonasi, banyak pelajar bersekolah jauh dari rumah → membutuhkan rute jarak jauh. Meskipun sistem zonasi telah diterapkan, kebutuhan perjalanan pada koridor utama tetap ada karena tidak semua sekolah dan asal pelajar berada dalam jarak yang dekat. 2️⃣ Setelah PPDB zonasi, jarak rumah–sekolah lebih dekat → membutuhkan layanan yang lebih fleksibel dan menjangkau permukiman Dengan pendekatan dua sistem rute ini, layanan menjadi tetap relevan terhadap kebijakan pendidikan dan dapat menjangkau lebih banyak pelajar. ""📸 Liputan 6",jakarta punya sistem rute ubah sistem didik ubah pola jalan ajar ppdb zonasi banyak ajar sekolah jauh rumah butuh rute jarak jauh meski sistem zonasi terap butuh jalan koridor utama tetap semua sekolah asal ajar ada jarak dekat ppdb zonasi jarak rumahsekolah dekat butuh layan fleksibel jangkau mukim dekat sistem rute layan jadi tetap relevan bijak didik jangkau banyak ajar liput,Negatif
49,"Bus Sekolah Gratis di Jakarta yang Beradaptasi"" Di Jakarta, layanan bus sekolah dibagi dua yaitu, 1️⃣ Rute Reguler Rute tetap yang melayani pelajar dari berbagai wilayah Jakarta tanpa mengikuti batas zonasi sekolah. Berukuran lebih besar yang melewati jalan utama, jalan provinsi, dan jalan besar. 2️⃣ Rute Zonasi Rute yang disesuaikan dengan sistem PPDB zonasi yang mengharuskan pelajar wajib memilih sekolah dalam radius tertentu dari rumah. Berukuran lebih kecil agar bus bisa bisa menjangkau pelajar di sekolah-sekolah yang berlokasi di jalan yang kecil. ""📸 Liputan 6",bus sekolah gratis jakarta adaptasi jakarta layan bus sekolah bagi yaitu rute reguler rute tetap layan ajar bagai wilayah jakarta ikut batas zonasi sekolah ukur besar lewat jalan utama jalan provinsi jalan besar rute zonasi rute sesuai sistem ppdb zonasi harus ajar wajib pilih sekolah radius tentu rumah ukur kecil bus jangkau ajar sekolah sekolah lokasi jalan kecil liput,Netral
50,"@schfess DEMI APAPUN KGK PRNH ADA RASA IKHLAS SM PPDB SMA ANGKATAN 26 KMRN, Kek ngapain si pke ada zonasi. Dzolim bgt emg pemerintah pendidikan ini",apa kgk prnh rasa ikhlas ppdb sma angkat kmrn kek ngapain pke zonasi dzolim emg perintah didik,Netral
51,"Oke, udah 100% validated yaa kalau SNBP atau SNMPTN pakai indikator yg namanya Index Sekolah!"" Apalagi, ke depan akan ada representasi Sekolah Rakyat di daerah, yang pasti secara Index akan lebih unggul. ""Ini adalah PR buat Pemerintah Daerah untuk mengkaji terkait PPDB Zonasi! https://t.co/gof4NMBhTw",oke validated yaa snbp snmptn pakai indikator nama index sekolah depan representasi sekolah rakyat daerah cara index unggul buat perintah daerah kaji kait ppdb zonasi,Netral
52,@txtdaritaxpayer di jogja ppdb sma/smk negeri masih pakai tes tertulis ga murni zonasi,jogja ppdb sma smk negeri pakai tes tulis murni zonasi,Netral
